Player: aabbood	Score: 83
Player: aabdeen	Score: 45
Player: aadel	Score: 88
Player: aamer	Score: 61
Player: aaref	Score: 92
Player: aasem	Score: 14
Player: aashoor	Score: 37
Player: aatef	Score: 25
Player: abbas	Score: 50
Player: abdallah	Score: 79
Player: abdel-aal	Score: 67
Player: abdelazeez	Score: 91
Player: abdelgawwaad	Score: 18
Player: abdelmo-ez	Score: 33
Player: abolnoor	Score: 56
Player: ad-ham	Score: 90
Player: adam	Score: 27
Player: adly	Score: 74
Player: adnan	Score: 99
Player: afifi	Score: 42
Player: ahmad	Score: 66
Player: aiman	Score: 21
Player: akram	Score: 61
Player: alaa	Score: 94
Player: ali	Score: 39
Player: allaam	Score: 86
Player: ameen	Score: 12
Player: ameer	Score: 78
Player: amgad	Score: 65
Player: ammar	Score: 29
Player: amr	Score: 55
Player: anwar	Score: 86
Player: araby	Score: 16
Player: asaad	Score: 49
Player: ashraf	Score: 70
Player: aayah	Score: 89
Player: aisha	Score: 31
Player: alaa	Score: 58
Player: ahlam	Score: 75
Player: amaal	Score: 93
Player: amal	Score: 24
Player: amany	Score: 47
Player: ameena	Score: 60
Player: ameera	Score: 97
Player: asmaa	Score: 35
Player: ahmed	Score: 0
Player: adel	Score: 13
Player: lolo	Score: 0
Player: farida	Score: 9
Player: huthaifa	Score: 10031
Player: abdelrahman	Score: 9999
Player: hamza	Score: 3
Player: omar	Score: 0
